EVT_SAVE_VAR(335) GB_Unused_END_14
EVT_SAVE_VAR(336) GB_Unused_OSR_00
EVT_SAVE_VAR(337) GB_Unused_BAT_00
EVT_SAVE_VAR(338) GB_Unused_BAT_01
EVT_SAVE_VAR(339) GB_Unused_BAT_02
EVT_SAVE_VAR(340) GB_Unused_BAT_03
EVT_SAVE_VAR(341) GB_Unused_BAT_04
EVT_SAVE_VAR(342) GB_Unused_BAT_05
EVT_SAVE_VAR(343) GB_Unused_BAT_06
EVT_SAVE_VAR(344) GB_Unused_BAT_07
EVT_SAVE_VAR(345) GB_Unused_BAT_08
EVT_SAVE_VAR(346) GB_KootFavor_State
EVT_SAVE_VAR(347) GB_KootFavor_Completed
EVT_SAVE_VAR(348) GB_KootFavor_Current
EVT_SAVE_VAR(349) GB_MAC02_CurrentBulletin
EVT_SAVE_VAR(350) GB_ChuckQuizmo_Town
EVT_SAVE_VAR(351) GB_ChuckQuizmo_Map
EVT_SAVE_VAR(352) GB_CompletedQuizzes
EVT_SAVE_VAR(353) GB_HOS06_Merlow_PurchaseCount
EVT_SAVE_VAR(354) GB_TradingEvent_Count
EVT_SAVE_VAR(355) GB_Unused_NPC_09
EVT_SAVE_VAR(356) GB_Unused_NPC_0A
EVT_SAVE_VAR(357) GB_Unused_NPC_0B
EVT_SAVE_VAR(358) GB_Unused_NPC_0C
EVT_SAVE_VAR(359) GB_Unused_NPC_0D
EVT_SAVE_VAR(360) GB_Unused_NPC_0E
EVT_SAVE_VAR(361) GB_Unused_NPC_0F
EVT_SAVE_VAR(362) GB_Unused_NPC_10
EVT_SAVE_VAR(363) GB_Unused_NPC_11
EVT_SAVE_VAR(364) GB_Unused_NPC_12
EVT_SAVE_VAR(365) GB_Tattles_00
EVT_SAVE_VAR(366) GB_Tattles_01
EVT_SAVE_VAR(367) GB_Tattles_02
EVT_SAVE_VAR(368) GB_Tattles_03
EVT_SAVE_VAR(369) GB_Tattles_04
EVT_SAVE_VAR(370) GB_Tattles_05
EVT_SAVE_VAR(371) GB_Tattles_06
EVT_SAVE_VAR(372) GB_Tattles_07
EVT_SAVE_VAR(373) GB_Tattles_08
EVT_SAVE_VAR(374) GB_Tattles_09
EVT_SAVE_VAR(375) GB_Tattles_0A
EVT_SAVE_VAR(376) GB_Tattles_0B
EVT_SAVE_VAR(377) GB_Tattles_0C
EVT_SAVE_VAR(378) GB_Tattles_0D
EVT_SAVE_VAR(379) GB_Tattles_0E
EVT_SAVE_VAR(380) GB_Tattles_0F
EVT_SAVE_VAR(381) GB_Tattles_10
EVT_SAVE_VAR(382) GB_Tattles_11
EVT_SAVE_VAR(383) GB_Tattles_12
EVT_SAVE_VAR(384) GB_Tattles_13
EVT_SAVE_VAR(385) GB_Tattles_14
EVT_SAVE_VAR(386) GB_Tattles_15
EVT_SAVE_VAR(387) GB_Tattles_16
EVT_SAVE_VAR(388) GB_Tattles_17
EVT_SAVE_VAR(389) GB_Tattles_18
EVT_SAVE_VAR(390) GB_Tattles_19
EVT_SAVE_VAR(391) GB_Tattles_1A
EVT_SAVE_VAR(392) GB_Tattles_1B
EVT_SAVE_VAR(393) GB_Tattles_1C
EVT_SAVE_VAR(394) GB_FinalBowserHP
EVT_SAVE_VAR(395) GB_Unused_BTL_1E
EVT_SAVE_VAR(396) GB_Unused_BTL_1F
EVT_SAVE_VAR(397) GB_Unused_BTL_20
EVT_SAVE_VAR(398) GB_Unused_BTL_21
EVT_SAVE_VAR(399) GB_Unused_BTL_22
EVT_SAVE_VAR(400) GB_Unused_BTL_23
EVT_SAVE_VAR(401) GB_Unused_BTL_24
EVT_SAVE_VAR(402) GB_Unused_BTL_25
EVT_SAVE_VAR(403) GB_Unused_BTL_26
EVT_SAVE_VAR(404) GB_Unused_BTL_27
EVT_SAVE_VAR(405) GB_Unused_FBTL_00
EVT_SAVE_VAR(406) GB_Unused_FBTL_01
EVT_SAVE_VAR(407) GB_Unused_FBTL_02
EVT_SAVE_VAR(408) GB_Unused_FBTL_03
EVT_SAVE_VAR(409) GB_Unused_FBTL_04
EVT_SAVE_VAR(410) GB_Unused_FBTL_05
EVT_SAVE_VAR(411) GB_Unused_FBTL_06
EVT_SAVE_VAR(412) GB_Unused_FBTL_07
